"Var1","Var2","radius"
-8.67,41.24,0.01
-8.66,41.24,0.01
-8.65,41.24,0.01
-8.64,41.24,0.01
-8.63,41.24,0.01
-8.62,41.24,0.01
-8.61,41.24,0.01
-8.6,41.24,0.01
-8.59,41.24,0.01
-8.58,41.24,0.01
-8.57,41.24,0.01
-8.56,41.24,0.01
-8.55,41.24,0.01
-8.54,41.24,0.01
-8.53,41.24,0.01
-8.52,41.24,0.01
-8.51,41.24,0.01
-8.5,41.24,0.01
-8.49,41.24,0.01
-8.48,41.24,0.01
-8.47,41.24,0.01
-8.46,41.24,0.01
-8.45,41.24,0.01
-8.7,41.25,0.01
-8.69,41.25,0.01
-8.68,41.25,0.01
-8.67,41.25,0.01
-8.66,41.25,0.01
-8.65,41.25,0.01
-8.64,41.25,0.01
-8.63,41.25,0.01
-8.62,41.25,0.01
-8.61,41.25,0.01
-8.6,41.25,0.01
-8.59,41.25,0.01
-8.58,41.25,0.01
-8.57,41.25,0.01
-8.56,41.25,0.01
-8.55,41.25,0.01
-8.54,41.25,0.01
-8.53,41.25,0.01
-8.52,41.25,0.01
-8.51,41.25,0.01
-8.5,41.25,0.01
-8.49,41.25,0.01
-8.48,41.25,0.01
-8.47,41.25,0.01
-8.46,41.25,0.01
-8.45,41.25,0.01
-8.7,41.26,0.01
-8.69,41.26,0.01
-8.68,41.26,0.01
-8.67,41.26,0.01
-8.66,41.26,0.01
-8.65,41.26,0.01
-8.64,41.26,0.01
-8.63,41.26,0.01
-8.62,41.26,0.01
-8.61,41.26,0.01
-8.6,41.26,0.01
-8.59,41.26,0.01
-8.58,41.26,0.01
-8.57,41.26,0.01
-8.56,41.26,0.01
-8.55,41.26,0.01
-8.54,41.26,0.01
-8.53,41.26,0.01
-8.52,41.26,0.01
-8.51,41.26,0.01
-8.5,41.26,0.01
-8.49,41.26,0.01
-8.48,41.26,0.01
-8.47,41.26,0.01
-8.46,41.26,0.01
-8.45,41.26,0.01
-8.7,41.27,0.01
-8.69,41.27,0.01
-8.68,41.27,0.01
-8.67,41.27,0.01
-8.66,41.27,0.01
-8.65,41.27,0.01
-8.64,41.27,0.01
-8.63,41.27,0.01
-8.62,41.27,0.01
-8.61,41.27,0.01
-8.6,41.27,0.01
-8.59,41.27,0.01
-8.58,41.27,0.01
-8.57,41.27,0.01
-8.56,41.27,0.01
-8.55,41.27,0.01
-8.54,41.27,0.01
-8.53,41.27,0.01
-8.52,41.27,0.01
-8.51,41.27,0.01
-8.5,41.27,0.01
-8.49,41.27,0.01
-8.48,41.27,0.01
